,Unnamed: 0,player,age,days/week,run_type,km/day,shoes_type,place,mileage,wear_rate_tolerate,hurt_rate,sell_amount_rate,sell_price_rate,risk_type,keep_amount
22,22,23,60,3,B,1,Basketball,Forest,223,0.87,0.64,0.9,0.93,A,3341
23,23,24,71,5,E,31,Badminton,playground,263,0.69,0.92,1.0,1.01,A,2577
24,24,25,41,1,D,22,Basketball,Forest,292,0.48,0.54,0.6,0.92,C,2596
25,25,26,27,6,B,9,Basketball,playground,322,0.52,0.06,0.6,1.07,B,3405
26,26,27,41,1,D,29,Running,Forest,224,0.23,0.5,0.5,0.98,C,3543
27,27,28,51,2,E,36,Basketball,Forest,337,0.64,0.64,1.0,1.03,A,3413
28,28,29,74,6,B,2,Running,playground,398,0.38,0.97,0.2,1.1,E,2125
29,29,30,73,1,B,4,Running,playground,443,0.93,0.81,0.5,1.08,C,3819
30,30,31,68,6,B,1,Badminton,street,351,0.69,0.91,0.1,1.02,E,4479
31,31,32,45,0,A,0,Running,street,744,0.0,0.0,0.6,1.04,B,4298
32,32,33,32,3,C,18,Badminton,street,359,0.62,0.37,0.7,0.95,B,2334
33,33,34,79,1,D,26,Badminton,street,339,0.19,0.84,0.0,0.98,E,4497
34,34,35,72,6,B,8,Running,street,625,0.77,0.89,0.9,0.92,A,2749
35,35,36,19,5,D,22,Running,Forest,200,0.27,0.05,0.2,0.92,D,3038
36,36,37,61,4,D,25,Badminton,park,471,0.4,0.98,0.2,0.93,D,2020
37,37,38,28,0,A,0,Badminton,playground,369,0.0,0.0,0.4,1.0,C,2950
38,38,39,60,0,A,0,Badminton,street,497,0.0,0.0,0.0,0.92,E,2453
39,39,40,20,6,B,5,Running,grassland,292,0.26,0.18,0.4,0.99,C,2857
40,40,41,20,4,E,33,Badminton,street,430,0.31,0.08,0.7,1.03,B,4070
41,41,42,74,0,A,0,Badminton,park,394,0.0,0.0,0.3,0.95,D,3695
42,42,43,73,0,A,0,Basketball,grassland,286,0.0,0.0,0.8,0.94,A,3909
43,43,44,28,0,A,0,Running,park,663,0.0,0.0,0.1,1.06,E,4480
44,44,45,61,4,E,31,Basketball,park,705,0.14,0.82,0.5,1.04,C,3431
45,45,46,76,3,E,39,Badminton,street,301,0.68,0.97,0.1,1.07,E,2112
46,46,47,60,2,C,16,Running,playground,418,0.5,0.66,0.0,1.06,E,3668
47,47,48,77,6,E,36,Running,playground,301,0.86,1.0,0.2,0.98,E,3890
48,48,49,43,3,B,9,Running,street,593,0.29,0.57,0.1,1.05,E,3668
49,49,50,18,6,E,40,Badminton,grassland,170,0.14,0.13,0.9,0.94,A,3948
50,50,51,77,6,B,7,Basketball,park,707,0.47,0.94,0.9,1.03,A,1706
51,51,52,42,4,B,1,Badminton,park,434,0.43,0.52,0.5,1.05,C,3460
52,52,53,32,0,A,0,Basketball,Forest,348,0.0,0.0,0.7,0.98,B,3021
53,53,54,17,2,D,21,Running,Forest,387,0.55,0.09,0.0,0.95,E,1934
54,54,55,59,1,D,25,Basketball,Forest,319,0.2,0.63,0.5,0.99,C,3411
55,55,56,62,1,D,23,Badminton,grassland,117,0.75,0.9,0.7,1.05,B,1712
56,56,57,73,0,A,0,Basketball,grassland,281,0.0,0.0,0.3,0.95,D,3148
57,57,58,63,5,B,1,Badminton,playground,386,0.23,0.9,0.8,0.92,A,3031
58,58,59,72,1,E,35,Running,Forest,237,0.28,0.95,0.5,1.0,C,2014
59,59,60,37,4,C,13,Running,grassland,276,0.53,0.31,0.6,0.93,B,3657
60,60,61,69,4,E,37,Basketball,park,795,0.63,0.87,1.0,0.93,A,2285
61,61,62,51,4,B,6,Badminton,playground,328,0.96,0.63,0.5,0.92,C,3370
62,62,63,64,2,B,8,Badminton,grassland,162,0.62,0.83,0.6,0.96,C,3341
63,63,64,65,4,E,31,Running,grassland,385,0.69,0.81,0.8,1.01,B,2297
64,64,65,59,1,B,3,Basketball,street,701,0.78,0.67,0.7,0.97,B,3406
65,65,66,53,0,A,0,Running,street,797,0.0,0.0,0.6,1.04,C,3435
66,66,67,59,3,C,15,Running,grassland,367,0.71,0.72,0.8,1.04,B,1623
67,67,68,70,4,D,24,Running,playground,319,0.58,0.81,0.8,0.91,A,2171
68,68,69,65,5,D,26,Basketball,park,539,0.3,0.99,0.6,0.95,B,3526
69,69,70,23,1,E,32,Running,street,596,0.15,0.11,0.4,1.07,C,4256
70,70,71,26,5,C,13,Basketball,street,714,0.13,0.09,0.7,0.99,B,2656
71,71,72,64,4,B,3,Running,Forest,218,0.3,0.95,0.7,0.98,B,3906
72,72,73,61,5,E,41,Basketball,playground,381,0.38,0.94,0.5,1.08,C,2099
73,73,74,56,3,E,36,Running,Forest,312,0.3,0.64,0.4,0.93,C,2777
74,74,75,69,5,B,3,Badminton,park,381,0.1,0.91,0.2,0.94,E,2665
75,75,76,34,3,E,38,Running,park,571,0.89,0.26,0.5,1.0,C,2192
76,76,77,29,0,A,0,Badminton,street,349,0.0,0.0,0.3,1.09,D,3289
77,77,78,48,0,A,0,Badminton,grassland,126,0.0,0.0,0.5,1.01,C,1916
78,78,79,40,5,B,8,Badminton,playground,385,0.39,0.24,0.5,1.1,C,1770
79,79,80,73,6,B,6,Badminton,street,394,0.22,0.97,0.0,0.98,E,1796
80,80,81,26,5,D,21,Basketball,street,697,0.7,0.13,0.4,1.07,D,2944
81,81,82,62,1,B,5,Running,grassland,239,0.12,0.86,0.3,1.02,D,2342
82,82,83,66,4,C,11,Running,park,771,0.88,0.88,0.8,0.9,B,1975
83,83,84,39,4,D,26,Running,grassland,209,0.64,0.25,0.5,0.99,C,1744
84,84,85,37,4,E,36,Running,playground,379,0.25,0.34,0.2,1.03,E,3643
85,85,86,28,0,A,0,Badminton,playground,345,0.0,0.0,0.7,0.91,B,2434
86,86,87,36,3,D,23,Running,street,678,0.37,0.32,0.8,1.03,B,3844
87,87,88,73,4,D,27,Basketball,grassland,247,0.26,0.8,0.7,0.93,B,3562
88,88,89,34,2,B,6,Running,grassland,251,0.22,0.23,0.9,1.03,A,2143
89,89,90,38,6,E,34,Badminton,Forest,129,0.47,0.3,0.0,0.93,E,4374
90,90,91,18,3,D,29,Badminton,street,444,0.49,0.18,0.4,1.08,C,2734
91,91,92,71,1,C,18,Badminton,grassland,190,0.68,0.91,0.3,0.97,D,3332
92,92,93,54,0,A,0,Running,Forest,209,0.0,0.0,0.5,1.05,C,1554
93,93,94,77,5,C,12,Basketball,playground,316,0.6,0.93,0.2,1.05,E,1905
94,94,95,20,2,C,17,Running,street,542,0.33,0.15,0.4,1.09,D,3464
95,95,96,24,6,B,8,Running,playground,404,0.91,0.11,0.9,1.05,A,2228
96,96,97,38,1,E,40,Basketball,Forest,348,0.2,0.35,1.0,0.9,A,1603
97,97,98,63,4,B,2,Running,Forest,235,0.62,0.85,0.3,0.96,D,3692
98,98,99,69,5,E,40,Running,street,500,0.32,0.82,0.2,0.99,D,3593
99,99,100,50,6,C,17,Badminton,park,415,0.15,0.58,0.4,1.01,C,1682
100,100,101,34,5,D,28,Badminton,park,330,0.37,0.3,0.5,0.91,C,1718
101,101,102,21,4,E,34,Badminton,grassland,145,0.94,0.09,0.7,1.06,B,1721
102,102,103,30,2,B,5,Badminton,Forest,146,0.38,0.09,0.5,0.98,C,1734
103,103,104,47,4,E,33,Running,park,626,0.4,0.41,0.6,0.91,C,4209
104,104,105,20,0,A,0,Basketball,park,731,0.0,0.0,0.4,0.92,D,1664
105,105,106,71,5,C,13,Badminton,Forest,190,0.71,0.9,0.6,1.1,B,4218
106,106,107,20,1,C,12,Basketball,park,712,0.39,0.15,0.7,0.92,B,2097
107,107,108,24,0,A,0,Badminton,playground,242,0.0,0.0,0.9,0.97,A,3115
108,108,109,71,3,E,36,Basketball,grassland,264,0.73,0.95,0.5,1.06,C,2527
109,109,110,59,1,E,32,Badminton,Forest,146,0.66,0.65,0.3,0.93,D,3132
110,110,111,51,0,A,0,Badminton,playground,296,0.0,0.0,0.6,1.06,B,4368
111,111,112,40,3,C,17,Badminton,playground,282,0.59,0.3,0.6,1.09,C,4290
112,112,113,52,1,C,14,Running,grassland,320,0.27,0.69,0.3,1.09,D,2361
113,113,114,31,0,A,0,Basketball,park,665,0.0,0.0,0.4,1.09,C,4280
114,114,115,40,4,C,19,Badminton,playground,246,1.0,0.29,0.0,0.97,E,3717
115,115,116,58,4,C,15,Running,street,582,0.56,0.71,0.5,1.07,C,2975
116,116,117,51,6,D,21,Running,grassland,384,0.58,0.8,0.8,0.96,A,3233
117,117,118,72,1,D,25,Badminton,street,328,0.35,0.84,0.5,1.08,C,4325
118,118,119,71,0,A,0,Basketball,playground,329,0.0,0.0,0.6,0.91,C,2377
119,119,120,34,3,E,34,Basketball,Forest,384,0.26,0.32,0.4,1.1,D,3228
120,120,121,22,0,A,0,Running,park,644,0.0,0.0,0.2,0.95,E,4055
121,121,122,60,3,E,37,Running,Forest,346,0.23,0.77,0.7,1.02,B,4409
122,122,123,47,3,C,11,Badminton,playground,310,0.67,0.51,0.1,0.95,E,3349
123,123,124,75,2,D,24,Badminton,Forest,119,0.88,0.81,0.4,0.97,D,4106
124,124,125,52,0,A,0,Badminton,grassland,141,0.0,0.0,0.0,0.93,E,3278
125,125,126,69,6,B,2,Badminton,Forest,161,0.34,0.99,0.4,1.09,D,2722
126,126,127,62,5,E,37,Badminton,park,496,0.31,0.91,0.2,0.91,D,1906
127,127,128,55,2,E,41,Badminton,grassland,156,0.6,0.61,0.9,1.1,A,2347
128,128,129,29,0,A,0,Running,grassland,214,0.0,0.0,0.6,0.9,C,1933
129,129,130,35,1,E,31,Badminton,grassland,179,0.23,0.39,0.9,0.93,A,3852
130,130,131,32,6,D,24,Badminton,park,418,0.14,0.35,0.0,0.93,E,3262
131,131,132,25,1,D,21,Running,Forest,372,0.98,0.07,0.9,1.04,A,3351
132,132,133,59,6,C,16,Badminton,street,442,0.13,0.67,0.5,0.9,C,3775
133,133,134,40,0,A,0,Basketball,park,633,0.0,0.0,0.3,0.91,D,4150
134,134,135,19,6,D,21,Badminton,street,364,0.16,0.08,0.4,1.06,D,3642
135,135,136,39,0,A,0,Running,playground,315,0.0,0.0,0.2,0.92,D,4443
136,136,137,43,5,B,4,Running,playground,482,0.75,0.51,0.1,1.09,E,3383
137,137,138,17,4,E,33,Badminton,park,394,0.17,0.0,0.5,1.06,C,2506
138,138,139,40,0,A,0,Running,grassland,221,0.0,0.0,0.1,1.07,E,3610
139,139,140,25,3,B,7,Badminton,Forest,187,0.87,0.14,0.9,0.95,A,1893
140,140,141,25,0,A,0,Basketball,grassland,384,0.0,0.0,0.9,0.91,A,4284
141,141,142,18,6,D,28,Badminton,playground,390,0.95,0.16,0.9,1.08,A,2984
142,142,143,72,6,E,33,Badminton,park,461,0.75,0.91,0.9,0.99,A,2944
143,143,144,43,1,D,29,Badminton,street,331,0.86,0.42,0.2,1.03,E,2491
144,144,145,18,2,B,5,Basketball,Forest,392,0.44,0.17,0.2,1.09,D,2275
145,145,146,59,2,C,17,Running,grassland,324,0.37,0.62,1.0,1.09,A,2101
146,146,147,16,0,A,0,Badminton,Forest,193,0.0,0.0,1.0,0.99,A,4270
147,147,148,74,4,B,2,Running,Forest,202,0.27,0.82,0.0,0.95,E,2382
148,148,149,60,2,C,14,Running,street,580,0.92,0.73,0.6,0.9,C,2170
149,149,150,23,0,A,0,Running,playground,430,0.0,0.0,0.4,1.03,D,3705
150,150,151,75,3,D,26,Running,Forest,208,0.16,0.81,0.7,0.92,B,1591
151,151,152,32,4,C,18,Running,playground,369,0.89,0.31,0.5,0.92,C,2743
152,152,153,44,3,C,16,Basketball,street,767,0.99,0.42,0.4,0.94,D,4408
153,153,154,53,6,C,16,Running,playground,396,0.4,0.75,0.9,0.91,A,3013
154,154,155,51,6,E,37,Basketball,street,602,0.11,0.79,0.6,1.01,C,2667
155,155,156,57,3,D,22,Badminton,playground,301,0.13,0.73,0.3,1.07,D,4301
156,156,157,62,5,D,24,Basketball,playground,381,0.28,0.91,0.8,0.95,A,4053
157,157,158,52,0,A,0,Basketball,playground,478,0.0,0.0,0.3,1.06,D,2795
158,158,159,22,5,E,37,Basketball,Forest,374,0.3,0.1,0.9,1.02,A,1569
159,159,160,28,4,C,14,Running,Forest,363,0.56,0.19,0.6,0.9,C,3498
160,160,161,76,1,D,26,Badminton,park,432,0.82,1.0,0.2,0.98,D,4473
161,161,162,50,4,E,34,Running,street,537,0.81,0.45,0.1,0.91,E,1711
162,162,163,74,0,A,0,Badminton,Forest,191,0.0,0.0,0.4,1.0,C,3413
163,163,164,16,3,E,35,Basketball,playground,457,0.22,0.1,0.8,1.03,A,3351
164,164,165,17,5,B,7,Badminton,Forest,163,0.18,0.13,0.9,0.97,A,2350
165,165,166,16,5,D,21,Running,playground,493,0.72,0.13,0.5,1.09,C,4339
166,166,167,54,6,D,23,Badminton,park,434,0.34,0.69,0.6,0.97,C,2903
167,167,168,16,3,E,41,Running,park,630,0.44,0.08,0.1,0.93,E,3642
168,168,169,55,0,A,0,Basketball,park,772,0.0,0.0,0.8,1.08,B,1957
169,169,170,59,6,D,28,Basketball,Forest,335,0.39,0.74,0.0,0.92,E,1688
170,170,171,25,0,A,0,Badminton,Forest,105,0.0,0.0,0.8,1.03,A,3951
171,171,172,39,0,A,0,Badminton,playground,254,0.0,0.0,0.3,0.95,D,2991
172,172,173,63,5,C,12,Running,park,642,0.88,0.87,0.9,0.9,A,1775
173,173,174,74,1,C,11,Basketball,park,751,0.88,0.83,0.5,1.09,C,2833
174,174,175,58,2,B,5,Basketball,playground,452,0.97,0.73,0.0,1.02,E,4217
175,175,176,45,1,B,8,Basketball,grassland,228,0.72,0.48,1.0,1.0,A,3458
176,176,177,49,0,A,0,Badminton,playground,232,0.0,0.0,0.9,1.0,A,2994
177,177,178,44,4,E,32,Running,Forest,364,0.49,0.49,0.8,0.93,B,3238
178,178,179,42,6,D,25,Badminton,grassland,146,0.8,0.42,0.6,0.94,C,3013
179,179,180,49,6,B,7,Running,street,543,0.42,0.55,0.1,0.95,E,3505
180,180,181,60,6,B,2,Running,playground,302,0.41,0.75,0.4,1.04,D,2422
181,181,182,16,4,E,36,Basketball,playground,328,0.74,0.02,0.9,0.95,A,3848
182,182,183,35,6,B,2,Basketball,street,726,0.34,0.23,0.3,1.07,D,1519
183,183,184,32,3,C,19,Badminton,park,431,0.62,0.3,0.2,0.98,D,2728
184,184,185,19,1,E,32,Basketball,park,743,0.3,0.09,0.0,0.91,E,3860
185,185,186,71,0,A,0,Running,street,664,0.0,0.0,0.4,0.95,D,2072
186,186,187,78,2,D,22,Badminton,grassland,152,0.53,0.94,0.8,0.91,B,2158
187,187,188,62,1,E,37,Basketball,grassland,203,0.88,0.81,0.5,1.02,C,1929
188,188,189,28,6,C,12,Basketball,park,759,0.19,0.01,1.0,0.91,A,2613
189,189,190,27,4,D,23,Basketball,Forest,334,0.52,0.1,1.0,0.97,A,4221
190,190,191,44,4,D,28,Basketball,street,613,0.15,0.6,0.9,0.96,A,1942
191,191,192,61,6,E,31,Basketball,playground,417,0.33,0.95,0.5,1.0,C,2281
192,192,193,24,0,A,0,Running,park,555,0.0,0.0,0.9,0.98,A,2292
193,193,194,32,2,D,23,Running,playground,471,0.66,0.25,0.9,0.96,A,2521
194,194,195,50,6,E,31,Badminton,playground,284,0.34,0.58,0.7,1.08,B,3533
195,195,196,31,5,B,2,Badminton,Forest,114,0.64,0.26,0.8,1.06,A,2196
196,196,197,70,1,E,38,Badminton,playground,345,0.16,0.9,0.5,0.95,C,1925
197,197,198,59,6,C,16,Badminton,Forest,177,0.72,0.77,0.5,1.06,C,2321
198,198,199,17,2,D,25,Basketball,playground,354,0.87,0.18,0.1,0.93,E,2780
199,199,200,25,4,E,36,Running,street,785,0.51,0.0,0.3,1.0,D,4199
200,200,201,68,6,C,14,Basketball,grassland,359,0.74,0.8,0.5,1.08,C,3836
201,201,202,34,6,B,6,Badminton,street,469,0.67,0.35,0.4,1.07,C,1650
202,202,203,61,4,B,5,Badminton,street,447,0.92,0.9,0.1,0.97,E,2729
203,203,204,36,4,B,6,Badminton,park,358,0.25,0.25,0.4,0.93,C,2434
204,204,205,78,5,D,21,Running,street,799,0.68,0.91,0.4,1.06,D,3786
205,205,206,28,0,A,0,Running,park,653,0.0,0.0,0.9,1.02,A,2612
206,206,207,75,1,E,34,Badminton,grassland,130,0.7,0.99,0.1,1.0,E,3368
207,207,208,33,4,B,5,Badminton,street,364,0.67,0.31,0.6,0.99,C,4476
208,208,209,56,5,E,33,Running,playground,369,0.29,0.72,0.8,1.08,B,2491
209,209,210,34,1,B,2,Badminton,Forest,138,0.57,0.27,0.5,0.96,C,3792
210,210,211,69,2,D,27,Badminton,playground,228,0.6,0.91,0.4,0.92,C,2377
211,211,212,49,2,B,5,Badminton,playground,373,0.4,0.58,0.5,1.05,C,4283
212,212,213,73,4,C,14,Running,playground,310,0.84,0.84,0.7,1.06,B,2366
213,213,214,16,4,B,8,Badminton,Forest,129,0.66,0.11,0.4,1.07,C,4306
214,214,215,33,5,C,11,Badminton,playground,267,0.37,0.35,0.9,1.05,A,4357
215,215,216,63,5,C,11,Basketball,street,537,0.56,0.81,0.7,0.93,B,3313
216,216,217,31,1,C,11,Running,park,744,0.6,0.29,0.6,0.91,C,4398
217,217,218,52,1,B,6,Badminton,Forest,195,0.17,0.76,0.2,0.98,E,1944
218,218,219,43,6,C,15,Badminton,playground,321,0.79,0.49,0.1,0.99,E,1507
219,219,220,66,2,D,24,Basketball,grassland,321,0.99,0.86,0.8,0.96,A,2307
220,220,221,15,6,D,24,Badminton,Forest,129,0.43,0.04,0.7,1.06,B,2136
221,221,222,19,4,E,37,Running,park,550,0.23,0.06,0.9,0.92,A,3792
222,222,223,64,4,D,22,Running,street,544,0.82,0.88,0.2,1.01,D,2166
223,223,224,70,5,B,4,Badminton,Forest,195,0.56,0.98,0.0,0.94,E,2459
224,224,225,25,0,A,0,Running,Forest,352,0.0,0.0,0.5,0.97,C,3915
225,225,226,61,0,A,0,Basketball,grassland,397,0.0,0.0,0.1,1.1,E,2990
226,226,227,71,2,E,32,Running,grassland,339,0.43,0.86,0.9,0.9,A,3553
227,227,228,73,1,E,40,Badminton,street,401,0.22,0.93,0.2,0.98,E,3052
228,228,229,42,0,A,0,Badminton,street,394,0.0,0.0,0.5,1.1,C,2801
229,229,230,69,0,A,0,Basketball,playground,494,0.0,0.0,0.0,1.0,E,2123
230,230,231,64,2,D,29,Basketball,park,754,0.83,0.93,0.9,0.98,A,2445
231,231,232,60,3,C,16,Running,grassland,365,0.34,0.63,0.6,0.98,B,4457
232,232,233,16,6,D,24,Running,grassland,273,0.54,0.03,0.4,0.95,D,2111
233,233,234,63,0,A,0,Basketball,street,690,0.0,0.0,0.2,0.93,D,2597
234,234,235,18,6,E,35,Basketball,grassland,281,0.66,0.11,0.1,0.96,E,3493
235,235,236,56,2,E,36,Basketball,playground,344,0.85,0.65,0.5,1.03,C,4429
236,236,237,65,0,A,0,Badminton,street,452,0.0,0.0,0.2,1.01,E,2330
237,237,238,66,5,E,34,Basketball,Forest,240,0.76,0.88,0.1,0.9,E,2341
238,238,239,68,1,D,29,Badminton,playground,254,0.36,0.97,0.5,0.91,C,2114
239,239,240,40,0,A,0,Badminton,park,310,0.0,0.0,0.8,1.05,A,3565
240,240,241,74,0,A,0,Running,park,790,0.0,0.0,0.4,1.01,D,1838
241,241,242,29,2,C,14,Running,playground,304,0.24,0.02,0.3,0.93,D,2651
242,242,243,51,6,E,38,Basketball,street,589,0.66,0.67,0.8,0.9,A,2572
243,243,244,27,0,A,0,Basketball,park,748,0.0,0.0,0.5,1.05,C,1669
244,244,245,43,1,E,33,Basketball,street,562,0.95,0.58,0.7,1.01,B,3676
245,245,246,64,3,C,17,Basketball,Forest,211,0.17,0.82,0.8,0.93,A,3163
246,246,247,43,5,C,19,Basketball,street,773,0.74,0.53,0.9,1.01,A,2434
247,247,248,44,0,A,0,Basketball,grassland,322,0.0,0.0,0.7,0.97,B,2106
248,248,249,78,3,C,12,Running,park,715,0.55,0.83,0.9,1.05,A,2299
249,249,250,28,5,E,32,Running,Forest,360,0.21,0.19,0.8,1.03,A,2681
250,250,251,73,3,B,9,Badminton,playground,398,0.24,0.9,0.5,1.09,C,2603
251,251,252,25,2,C,17,Basketball,street,784,0.43,0.04,0.7,1.02,B,3061
252,252,253,73,2,E,32,Badminton,park,459,0.88,0.87,0.4,0.97,D,3939
253,253,254,75,2,C,12,Basketball,park,745,0.21,0.89,0.5,0.93,C,3405
254,254,255,78,5,E,40,Basketball,park,697,0.16,0.81,0.4,1.05,D,4014
255,255,256,67,1,D,22,Basketball,street,603,0.68,0.88,0.3,1.05,D,3259
256,256,257,62,1,C,16,Running,park,538,0.13,0.86,0.0,0.94,E,3505
257,257,258,66,1,B,6,Running,street,684,0.8,0.9,0.4,0.95,C,3194
258,258,259,77,4,C,19,Running,Forest,265,0.76,0.99,0.8,0.92,B,2485
259,259,260,73,5,C,18,Basketball,grassland,379,0.37,0.96,0.1,0.93,E,2807
260,260,261,26,4,B,9,Basketball,street,549,0.72,0.18,0.9,0.93,A,2874
261,261,262,64,4,D,21,Basketball,park,691,0.3,0.92,0.8,1.02,A,4381
262,262,263,77,0,A,0,Basketball,park,611,0.0,0.0,0.4,1.0,D,4390
263,263,264,77,0,A,0,Basketball,Forest,212,0.0,0.0,0.1,1.04,E,3511
264,264,265,18,3,D,27,Basketball,park,578,0.68,0.14,0.2,0.93,D,3458
265,265,266,16,3,D,29,Basketball,Forest,206,0.83,0.09,0.1,1.06,E,3263
266,266,267,39,4,B,1,Basketball,street,641,0.78,0.31,0.8,0.99,A,1932
267,267,268,50,2,B,5,Badminton,Forest,188,0.31,0.52,0.2,1.06,D,3604
268,268,269,36,2,C,12,Badminton,street,344,0.93,0.35,0.1,1.04,E,3493
269,269,270,25,5,D,29,Badminton,street,457,0.4,0.06,0.8,1.02,B,2292
270,270,271,71,4,D,28,Badminton,park,403,0.77,0.88,0.5,1.0,C,1546
271,271,272,29,1,E,40,Basketball,grassland,235,0.88,0.06,0.2,1.06,D,2504
272,272,273,47,4,E,39,Basketball,street,592,0.74,0.49,0.1,0.94,E,3793
273,273,274,41,4,E,32,Running,park,729,0.56,0.58,0.7,0.96,B,2909
274,274,275,29,1,D,25,Running,street,792,0.22,0.08,0.5,1.01,C,2379
275,275,276,37,5,C,17,Running,playground,341,0.36,0.21,0.8,0.94,A,3378
276,276,277,16,3,B,2,Running,park,566,0.84,0.01,0.2,1.04,D,4413
277,277,278,62,4,E,32,Basketball,playground,459,0.82,0.85,0.1,1.02,E,4090
278,278,279,78,4,D,27,Basketball,playground,302,0.8,0.81,0.2,1.05,D,2443
279,279,280,57,2,D,26,Badminton,park,327,0.6,0.62,0.5,1.08,C,1821
280,280,281,62,4,D,27,Running,street,563,0.82,0.91,0.6,1.03,C,1756
281,281,282,43,5,D,28,Badminton,park,343,0.86,0.45,0.0,1.1,E,3697
282,282,283,15,3,E,35,Basketball,grassland,265,0.69,0.08,0.1,0.95,E,1762
283,283,284,72,2,E,35,Basketball,park,562,0.29,0.81,0.7,1.0,B,2851
284,284,285,15,3,E,37,Badminton,Forest,168,0.33,0.13,0.8,0.92,B,4414
285,285,286,37,6,C,16,Running,playground,488,0.5,0.23,0.7,0.94,B,4488
286,286,287,56,0,A,0,Badminton,grassland,107,0.0,0.0,0.2,0.99,E,2492
287,287,288,78,1,C,16,Badminton,playground,273,0.6,0.82,0.4,1.03,D,1561
288,288,289,20,0,A,0,Basketball,street,789,0.0,0.0,0.7,1.03,B,2053
289,289,290,75,1,E,39,Running,playground,365,0.98,0.92,0.6,1.0,B,2052
290,290,291,79,3,B,3,Running,Forest,274,0.22,0.81,0.8,0.93,B,3596
291,291,292,68,4,B,7,Running,street,717,0.6,0.85,0.7,1.05,B,1876
292,292,293,31,0,A,0,Badminton,park,313,0.0,0.0,0.1,0.9,E,2674
293,293,294,43,5,C,14,Badminton,playground,378,0.41,0.51,0.4,1.09,D,2287
294,294,295,38,2,D,26,Basketball,park,709,0.38,0.32,1.0,1.09,A,3853
295,295,296,45,1,D,27,Basketball,street,662,0.49,0.56,0.7,1.02,B,3961
296,296,297,37,4,D,29,Running,Forest,257,0.36,0.34,0.1,1.06,E,2314
297,297,298,45,5,E,38,Running,playground,409,0.95,0.48,0.4,1.08,D,3235
298,298,299,58,4,D,26,Running,park,605,0.11,0.69,0.5,0.99,C,1625
299,299,300,53,1,E,37,Running,grassland,313,0.12,0.63,0.4,1.08,C,4152
300,300,301,55,0,A,0,Running,park,699,0.0,0.0,0.6,0.99,B,2133
301,301,302,55,1,C,18,Basketball,playground,334,0.68,0.74,1.0,0.97,A,3654
302,302,303,45,2,D,26,Running,street,631,0.51,0.6,0.4,1.04,D,2886
303,303,304,64,4,C,14,Badminton,playground,376,0.9,0.86,1.0,0.92,A,3248
304,304,305,17,3,E,36,Running,park,670,0.22,0.19,0.3,0.99,D,1970
305,305,306,67,6,D,26,Running,Forest,348,0.81,0.85,0.5,1.05,C,3149
306,306,307,29,2,D,25,Running,street,683,0.89,0.19,0.6,1.03,C,3463
307,307,308,46,4,E,32,Basketball,street,547,0.53,0.56,0.3,0.99,D,1972
308,308,309,17,2,C,13,Badminton,park,313,0.51,0.02,0.7,0.98,B,1752
309,309,310,66,0,A,0,Badminton,street,408,0.0,0.0,0.1,0.98,E,2038
310,310,311,47,3,E,31,Badminton,street,370,0.97,0.4,0.4,1.04,C,3484
311,311,312,31,3,C,15,Basketball,park,583,0.24,0.24,0.6,1.01,C,3099
